PassengerId,Survived,Others
1211,0,1158
1212,0,1092
1213,0,1093
1214,1,1155
1215,0,1154
1216,1,1157
1217,1,1156
1218,0,1151
1219,0,1150
1220,1,1153
1221,0,1152
1222,0,1119
1223,1,1050
1224,1,1118
1225,1,1297
1226,0,988
1227,0,989
1228,1,982
1229,0,983
1230,0,980
1231,0,981
1232,0,986
1233,0,987
1234,0,984
1235,0,985
1236,0,1256
1237,0,1257
1238,1,1254
1239,1,1255
1240,0,1252
1241,0,1253
1242,0,1250
1243,1,1251
1244,0,915
1245,1,914
1246,1,917
1247,0,916
1248,0,911
1249,0,910
1250,0,1258
1251,0,1259
1252,1,1025
1253,0,1024
1254,1,1027
1255,0,1026
1256,0,1021
1257,0,1020
1258,0,1188
1259,0,1022
1260,0,1186
1261,1,1187
1262,1,1184
1263,0,1185
1264,1,1182
1265,1,1028
1266,0,1180
1267,1,1181
1268,1,1164
1269,0,1165
1270,1,1166
1271,0,1167
1272,1,1160
1273,0,1161
1274,1,1162
1275,1,1163
1276,1,1205
1277,1,1204
1278,0,1207
1279,0,1206
1280,0,1201
1281,1,1169
1282,0,1203
1283,0,1202
1284,0,959
1285,0,958
1286,0,951
1287,0,950
1288,1,953
1289,1,952
1290,1,955
1291,1,954
1292,1,957
1293,0,956
1294,1,1111
1295,0,1110
1296,1,1298
1297,0,1299
1298,0,1115
1299,0,1114
1300,1,1117
1301,0,1116
1302,1,1292
1303,0,1293
1304,0,1290
1305,0,1291
1306,1,1296
1307,0,1218
1308,0,1294
1309,0,1295
